               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08507,             0.10399,            0.047347,           0.0028123,            0.039934,           0.0018294,          0.00064306,             0.11309,             0.81287,             0.14084,              0.0748,              0.0028,              0.0028
                   1,            0.074884,             0.10666,            0.035272,            0.074832,            0.053803,            0.002035,          0.00037793,             0.10958,              3.3784,             0.10148,            0.048644,           0.0056436,           0.0056436
                   2,            0.073351,             0.11125,            0.033861,           0.0068724,            0.012704,           0.0035945,           0.0011616,             0.10638,              1.9629,             0.13786,             0.02243,           0.0084297,           0.0084297
                   3,            0.073941,             0.11355,            0.031884,            0.085231,            0.049917,           0.0087124,           0.0021699,             0.10341,              1.0268,             0.14338,            0.009703,            0.009703,            0.009703
                   4,            0.070731,              0.1107,            0.028909,             0.21253,              0.1196,            0.044127,            0.013762,            0.084804,             0.55771,            0.053886,            0.009703,            0.009703,            0.009703
                   5,            0.068178,              0.1087,            0.028499,             0.42369,             0.16359,            0.079591,             0.02552,            0.080814,             0.30351,            0.051435,            0.009604,            0.009604,            0.009604
                   6,            0.066378,             0.11344,            0.024349,             0.34574,             0.16421,             0.12412,            0.039602,             0.07643,              0.1354,            0.041953,            0.009505,            0.009505,            0.009505
                   7,            0.065919,             0.10791,            0.023755,             0.16237,             0.29046,             0.10172,            0.029053,            0.071801,            0.098495,            0.037801,            0.009406,            0.009406,            0.009406
                   8,            0.063751,             0.10484,            0.022576,             0.30766,             0.23588,             0.18205,            0.053561,            0.069471,            0.090607,            0.037226,            0.009307,            0.009307,            0.009307
                   9,             0.06237,             0.10319,            0.021281,             0.38882,             0.34657,             0.30893,              0.1101,            0.063638,            0.080711,            0.023651,            0.009208,            0.009208,            0.009208
                  10,             0.06348,             0.10096,            0.020476,             0.35095,             0.43829,              0.3159,             0.10289,            0.064138,            0.084976,            0.022219,            0.009109,            0.009109,            0.009109
                  11,            0.061846,             0.10431,            0.019571,             0.46827,              0.3728,             0.33377,             0.12648,            0.059706,            0.071701,            0.021424,             0.00901,             0.00901,             0.00901
                  12,             0.06045,             0.10484,            0.018716,             0.47413,             0.40527,             0.37326,              0.1428,            0.059458,            0.072876,            0.020324,            0.008911,            0.008911,            0.008911
                  13,            0.058874,              0.1022,            0.017431,             0.45475,             0.40137,             0.36945,             0.13813,            0.060048,            0.076248,             0.02195,            0.008812,            0.008812,            0.008812
                  14,            0.059864,             0.10297,            0.017238,             0.46788,             0.40133,             0.40752,             0.16933,            0.059445,            0.074219,            0.020866,            0.008713,            0.008713,            0.008713
                  15,            0.060277,             0.10276,            0.016884,             0.45483,             0.47001,             0.42646,             0.17054,            0.059059,            0.073303,             0.01905,            0.008614,            0.008614,            0.008614
                  16,            0.058068,            0.099321,            0.016883,             0.59958,             0.35012,             0.39707,             0.14405,            0.058743,            0.074287,            0.018747,            0.008515,            0.008515,            0.008515
                  17,            0.057013,             0.10013,            0.015873,             0.48033,             0.45763,             0.42348,             0.16656,            0.055582,            0.070946,             0.01952,            0.008416,            0.008416,            0.008416
                  18,            0.057415,            0.097115,            0.015503,             0.60467,             0.45907,             0.50589,             0.19163,            0.057371,            0.071236,            0.019002,            0.008317,            0.008317,            0.008317
                  19,            0.058155,            0.097941,            0.015712,              0.6662,             0.39064,             0.48908,             0.20481,            0.057137,            0.071571,            0.017173,            0.008218,            0.008218,            0.008218
                  20,            0.055438,            0.094365,            0.015197,              0.6195,             0.40815,             0.41966,             0.17101,            0.058465,             0.07309,            0.019842,            0.008119,            0.008119,            0.008119
                  21,             0.05635,            0.099133,            0.014761,             0.54062,             0.49058,             0.50496,              0.1877,            0.056213,            0.071968,            0.018657,             0.00802,             0.00802,             0.00802
                  22,            0.055594,             0.10268,            0.014715,             0.63265,             0.45672,             0.50531,             0.20566,            0.056509,            0.071346,            0.018936,            0.007921,            0.007921,            0.007921
                  23,            0.055659,             0.10027,             0.01502,             0.59424,             0.52684,             0.52557,             0.22746,            0.056133,            0.070911,            0.017872,            0.007822,            0.007822,            0.007822
                  24,            0.055812,            0.099885,            0.014368,             0.63737,             0.50044,             0.55685,              0.2417,            0.054426,            0.070625,            0.016226,            0.007723,            0.007723,            0.007723
                  25,            0.053478,            0.095371,             0.01432,             0.59017,             0.51595,             0.53751,             0.22708,            0.055179,            0.073334,            0.018039,            0.007624,            0.007624,            0.007624
                  26,            0.053808,            0.099214,            0.013588,             0.60855,             0.50856,             0.51929,             0.20463,             0.05463,            0.071922,             0.01807,            0.007525,            0.007525,            0.007525
                  27,             0.05462,            0.095389,             0.01456,             0.62497,             0.43737,             0.48261,             0.21235,            0.055239,            0.073174,            0.018169,            0.007426,            0.007426,            0.007426
                  28,            0.054976,            0.092745,            0.014158,              0.5651,             0.50687,             0.52225,              0.2074,            0.055831,            0.069599,            0.016803,            0.007327,            0.007327,            0.007327
                  29,            0.054468,            0.092031,            0.012729,             0.60714,             0.51708,             0.53163,             0.22052,             0.05495,            0.071972,            0.018215,            0.007228,            0.007228,            0.007228
                  30,            0.054267,            0.093273,            0.013818,             0.52534,             0.51761,              0.5122,             0.20116,             0.05521,            0.070076,            0.015275,            0.007129,            0.007129,            0.007129
                  31,            0.053413,             0.10345,            0.012528,             0.53953,             0.53332,             0.54963,              0.2287,            0.055548,            0.070602,            0.015064,             0.00703,             0.00703,             0.00703
                  32,            0.052721,            0.094762,            0.012344,             0.53735,             0.54049,              0.5267,             0.22675,            0.053917,            0.071255,             0.01678,            0.006931,            0.006931,            0.006931
                  33,            0.051645,            0.095283,            0.012574,             0.74074,              0.5465,              0.6171,             0.26567,            0.053126,            0.068954,            0.014696,            0.006832,            0.006832,            0.006832
                  34,            0.051619,            0.093782,            0.012036,             0.62788,             0.60253,              0.6011,             0.25176,            0.053237,            0.068867,             0.01492,            0.006733,            0.006733,            0.006733
                  35,            0.053957,            0.097544,            0.012172,             0.62748,             0.60578,             0.60599,              0.2548,            0.053939,            0.069527,            0.015283,            0.006634,            0.006634,            0.006634
                  36,            0.052461,             0.09536,            0.012558,             0.57064,             0.58563,             0.56487,             0.23444,            0.054485,            0.072765,            0.016553,            0.006535,            0.006535,            0.006535
                  37,            0.052865,             0.10249,            0.011391,             0.59519,             0.64068,             0.62873,             0.25731,            0.053989,            0.068508,            0.016251,            0.006436,            0.006436,            0.006436
                  38,            0.052589,            0.095012,            0.011808,             0.58818,             0.61851,             0.59563,              0.2634,            0.052257,            0.070351,            0.015424,            0.006337,            0.006337,            0.006337
                  39,            0.050649,            0.089143,            0.012125,             0.60773,             0.53448,             0.57788,             0.24564,            0.053743,            0.071098,            0.015748,            0.006238,            0.006238,            0.006238
                  40,            0.050459,            0.095065,            0.010993,             0.63885,             0.54319,             0.55129,              0.2398,            0.054001,            0.070477,            0.014628,            0.006139,            0.006139,            0.006139
                  41,            0.051031,            0.095333,            0.010905,             0.69541,             0.53064,              0.6088,             0.26839,             0.05218,            0.068565,            0.014137,             0.00604,             0.00604,             0.00604
                  42,            0.051743,            0.093693,            0.011225,             0.70121,             0.58174,             0.63587,             0.28901,            0.051212,            0.069935,            0.014544,            0.005941,            0.005941,            0.005941
                  43,            0.050658,            0.094892,            0.010236,             0.68269,             0.61083,             0.66218,             0.29341,            0.053572,            0.069565,            0.013146,            0.005842,            0.005842,            0.005842
                  44,            0.049863,            0.095942,            0.010368,             0.63212,              0.5989,             0.63522,             0.29349,            0.051999,            0.067905,            0.013461,            0.005743,            0.005743,            0.005743
                  45,            0.049464,            0.091868,           0.0096474,             0.61464,             0.64367,              0.5956,             0.26937,            0.051597,            0.068855,            0.013235,            0.005644,            0.005644,            0.005644
                  46,            0.050746,            0.095089,            0.010116,             0.66123,             0.58862,             0.63136,             0.29369,            0.051966,            0.069759,            0.013215,            0.005545,            0.005545,            0.005545
                  47,            0.051743,            0.092691,            0.010885,             0.61794,             0.60969,             0.63104,             0.26813,            0.053707,            0.067451,            0.014058,            0.005446,            0.005446,            0.005446
                  48,            0.050334,            0.093287,            0.010664,             0.66433,             0.58809,              0.6222,             0.25676,            0.052353,            0.071976,            0.017117,            0.005347,            0.005347,            0.005347
                  49,            0.049694,            0.090259,           0.0099127,             0.60935,             0.57263,             0.59972,             0.26464,            0.056197,            0.067341,            0.016211,            0.005248,            0.005248,            0.005248
                  50,            0.049038,            0.089013,           0.0093918,             0.65856,             0.60212,             0.63749,             0.28286,            0.051552,            0.069489,            0.013815,            0.005149,            0.005149,            0.005149
                  51,            0.049811,            0.087448,            0.010382,             0.74488,             0.59535,             0.63802,             0.26728,            0.052417,            0.070988,            0.014026,             0.00505,             0.00505,             0.00505
                  52,            0.048473,            0.083469,            0.010468,             0.69052,             0.55262,             0.58515,             0.25817,            0.052129,            0.069477,            0.014939,            0.004951,            0.004951,            0.004951
                  53,              0.0482,            0.087472,           0.0092911,             0.67288,              0.5828,             0.61714,             0.28458,            0.052225,            0.073582,            0.012911,            0.004852,            0.004852,            0.004852
                  54,            0.047978,            0.089913,            0.009467,             0.71249,             0.61863,             0.67129,             0.28899,            0.051442,             0.06934,            0.015488,            0.004753,            0.004753,            0.004753
                  55,            0.048328,            0.090815,           0.0095577,             0.69755,             0.66018,             0.68852,             0.31407,            0.050643,            0.069607,            0.014389,            0.004654,            0.004654,            0.004654
                  56,            0.048285,            0.088189,           0.0089656,             0.61174,             0.59766,             0.59626,             0.28076,            0.052061,             0.07016,            0.015677,            0.004555,            0.004555,            0.004555
                  57,            0.048555,            0.090789,           0.0089775,             0.64937,             0.58594,             0.59946,             0.27849,            0.051673,            0.073265,            0.016151,            0.004456,            0.004456,            0.004456
                  58,            0.047817,            0.084858,           0.0090581,              0.6981,             0.64794,             0.65172,             0.29113,            0.050748,            0.071304,             0.01335,            0.004357,            0.004357,            0.004357
                  59,             0.04719,             0.08659,           0.0091277,              0.6764,             0.62089,             0.65602,             0.27907,            0.050806,            0.070557,               0.014,            0.004258,            0.004258,            0.004258
                  60,            0.047673,            0.089848,           0.0084134,             0.74666,             0.61871,             0.66881,             0.32771,            0.050182,            0.069866,            0.014257,            0.004159,            0.004159,            0.004159
                  61,             0.04627,            0.085877,           0.0084949,              0.7697,             0.62097,             0.67932,             0.32189,            0.049323,            0.070827,            0.013444,             0.00406,             0.00406,             0.00406
                  62,            0.046363,             0.08948,           0.0078915,             0.76487,             0.63299,             0.67316,             0.29899,            0.050772,            0.069378,             0.01193,            0.003961,            0.003961,            0.003961
                  63,             0.04658,            0.084947,           0.0084013,             0.76405,             0.59632,             0.67723,             0.33098,            0.049486,            0.069592,             0.01395,            0.003862,            0.003862,            0.003862
                  64,            0.045472,            0.082504,            0.007068,             0.71454,             0.60171,             0.63115,              0.2782,            0.051062,            0.070244,            0.013074,            0.003763,            0.003763,            0.003763
                  65,            0.045928,            0.088065,           0.0080549,             0.73002,             0.65513,             0.67248,             0.33301,            0.049754,             0.06889,            0.013116,            0.003664,            0.003664,            0.003664
                  66,            0.046223,            0.088663,           0.0075005,             0.70801,              0.6319,             0.63566,             0.30311,            0.050032,             0.06831,            0.013522,            0.003565,            0.003565,            0.003565
                  67,            0.045874,            0.080224,           0.0075661,             0.64122,             0.63606,             0.65985,             0.32269,            0.049838,            0.069721,            0.012429,            0.003466,            0.003466,            0.003466
                  68,            0.046347,            0.086554,           0.0076299,             0.74529,             0.64374,             0.68072,             0.31114,            0.049866,            0.071205,            0.012994,            0.003367,            0.003367,            0.003367
                  69,            0.044635,            0.083909,           0.0072675,             0.68099,              0.6519,              0.6696,             0.28539,            0.051886,            0.069336,            0.013744,            0.003268,            0.003268,            0.003268
                  70,            0.044689,            0.085814,           0.0066804,             0.83491,             0.62591,             0.68821,             0.31478,            0.049875,            0.068741,             0.01276,            0.003169,            0.003169,            0.003169
                  71,            0.044834,            0.083881,            0.007236,             0.77228,             0.64002,              0.7007,             0.32401,            0.050546,            0.069687,             0.01344,             0.00307,             0.00307,             0.00307
                  72,            0.044065,            0.077827,           0.0076905,             0.71585,             0.65851,             0.67934,             0.30465,            0.050199,            0.068863,            0.013239,            0.002971,            0.002971,            0.002971
                  73,            0.043621,            0.080202,           0.0070809,             0.70081,              0.6415,                0.67,             0.30502,            0.049869,            0.070335,            0.013123,            0.002872,            0.002872,            0.002872
                  74,            0.043211,            0.079695,           0.0066183,              0.7169,             0.63692,             0.68746,             0.34417,            0.048415,             0.06826,            0.013301,            0.002773,            0.002773,            0.002773
