               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085083,             0.10402,            0.047462,             0.22099,            0.041209,           0.0025128,          0.00064379,             0.11433,               1.124,             0.12808,              0.0748,              0.0028,              0.0028
                   1,            0.074825,             0.10804,             0.03546,           0.0075762,            0.031152,           0.0053516,           0.0014254,             0.11411,              3.8826,             0.13345,            0.048644,           0.0056436,           0.0056436
                   2,            0.072093,             0.10972,            0.032811,           0.0097262,            0.060917,           0.0049918,           0.0015651,             0.10881,              1.3044,             0.11237,             0.02243,           0.0084297,           0.0084297
                   3,            0.071838,             0.11314,            0.030661,              0.1566,             0.12202,            0.010347,           0.0028813,            0.096966,             0.53723,            0.077518,            0.009703,            0.009703,            0.009703
                   4,            0.070223,             0.10996,            0.028369,             0.15703,             0.12476,            0.043583,            0.010751,            0.094156,             0.36481,            0.067841,            0.009703,            0.009703,            0.009703
                   5,            0.067086,              0.1071,            0.028267,             0.17053,               0.332,            0.087996,            0.032967,            0.081743,             0.20964,            0.059109,            0.009604,            0.009604,            0.009604
                   6,            0.065512,             0.11233,            0.023768,             0.34254,             0.18755,            0.080503,            0.023255,            0.077041,             0.14796,            0.046335,            0.009505,            0.009505,            0.009505
                   7,            0.064646,             0.10701,            0.022898,             0.31822,             0.30429,              0.2034,            0.071285,            0.067881,             0.11681,            0.025918,            0.009406,            0.009406,            0.009406
                   8,            0.062104,             0.10377,             0.02132,             0.35623,             0.35801,             0.25133,            0.083835,            0.069706,            0.097305,            0.029453,            0.009307,            0.009307,            0.009307
                   9,            0.061467,             0.10169,            0.020386,             0.47377,             0.38609,             0.39486,             0.13547,            0.062131,             0.08902,            0.021856,            0.009208,            0.009208,            0.009208
                  10,            0.061334,            0.099649,            0.019362,             0.41091,             0.36621,             0.31617,             0.11769,            0.064317,              0.1053,            0.027758,            0.009109,            0.009109,            0.009109
                  11,            0.060692,             0.10376,            0.019434,             0.47529,             0.46752,             0.39677,             0.14577,            0.059893,            0.075661,              0.0198,             0.00901,             0.00901,             0.00901
                  12,            0.058969,             0.10374,            0.018336,             0.45014,             0.43305,              0.3816,             0.14542,            0.062832,            0.075951,            0.022794,            0.008911,            0.008911,            0.008911
                  13,            0.056843,             0.10065,            0.016511,             0.49137,              0.4985,             0.44319,             0.18563,            0.056906,            0.070656,            0.018697,            0.008812,            0.008812,            0.008812
                  14,            0.057846,             0.10119,               0.016,             0.53796,             0.37885,             0.39777,             0.15029,            0.059766,            0.079681,            0.020604,            0.008713,            0.008713,            0.008713
                  15,            0.058119,             0.10096,            0.015308,             0.53795,             0.47188,             0.48984,             0.19866,            0.058232,            0.075615,            0.018348,            0.008614,            0.008614,            0.008614
                  16,            0.056048,            0.096997,            0.015311,             0.56108,             0.49326,             0.49095,             0.19164,            0.056838,            0.072807,            0.017755,            0.008515,            0.008515,            0.008515
                  17,            0.056173,            0.097491,            0.014644,             0.48691,             0.51662,             0.47031,             0.18985,            0.055233,            0.075378,            0.019039,            0.008416,            0.008416,            0.008416
                  18,            0.055802,            0.095449,            0.013981,             0.54829,             0.48619,             0.49601,             0.19977,            0.056282,            0.071854,            0.019567,            0.008317,            0.008317,            0.008317
                  19,            0.056505,            0.095705,            0.013936,             0.51468,             0.52778,             0.50001,             0.19159,            0.056468,            0.071159,            0.019482,            0.008218,            0.008218,            0.008218
                  20,            0.054348,            0.091153,            0.013801,             0.58889,             0.57344,             0.57109,             0.25085,            0.053548,            0.070709,            0.014831,            0.008119,            0.008119,            0.008119
                  21,              0.0541,            0.096506,            0.013193,             0.66532,             0.45814,             0.54142,             0.21954,            0.054444,            0.070168,            0.016709,             0.00802,             0.00802,             0.00802
                  22,            0.054005,            0.099574,            0.012984,             0.66386,             0.55002,               0.577,             0.25598,            0.055276,            0.070389,            0.018215,            0.007921,            0.007921,            0.007921
                  23,            0.054584,            0.096874,            0.013197,             0.65297,             0.53014,             0.61601,             0.26431,            0.053417,            0.071739,            0.017052,            0.007822,            0.007822,            0.007822
                  24,            0.053637,            0.096842,            0.012485,             0.66223,             0.56543,             0.59107,             0.27185,            0.054239,            0.069302,            0.015477,            0.007723,            0.007723,            0.007723
                  25,            0.051556,            0.092461,            0.012307,              0.6309,             0.62836,              0.6615,             0.28073,            0.052401,            0.068451,            0.014249,            0.007624,            0.007624,            0.007624
                  26,            0.051822,            0.095378,             0.01187,             0.64133,             0.61317,              0.6278,             0.28852,            0.052842,               0.069,            0.015974,            0.007525,            0.007525,            0.007525
                  27,            0.050909,            0.091517,            0.012269,             0.67042,             0.49988,             0.58379,               0.235,            0.053665,            0.070152,            0.016346,            0.007426,            0.007426,            0.007426
                  28,            0.050816,            0.089047,            0.012294,             0.68652,             0.56664,             0.63151,              0.2661,            0.054729,            0.069283,            0.015171,            0.007327,            0.007327,            0.007327
                  29,            0.050818,            0.089048,            0.011247,              0.7178,             0.56912,             0.61712,              0.2737,             0.05262,            0.070984,            0.015723,            0.007228,            0.007228,            0.007228
                  30,            0.050949,            0.089431,            0.011833,             0.63641,             0.60916,             0.59115,             0.25666,            0.052809,            0.068535,            0.014351,            0.007129,            0.007129,            0.007129
                  31,            0.050282,            0.098464,             0.01048,             0.64766,             0.57716,             0.59106,             0.26773,            0.052805,             0.07032,            0.013334,             0.00703,             0.00703,             0.00703
                  32,            0.049183,            0.090258,            0.010267,             0.72478,             0.57978,             0.67563,             0.29943,            0.050908,            0.067551,            0.013162,            0.006931,            0.006931,            0.006931
