               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10943,             0.09181,            0.069999,             0.95288,            0.020357,            0.027497,           0.0081008,            0.092103,            0.071579,            0.061107,              0.0748,              0.0028,              0.0028
                   1,            0.085511,            0.095793,            0.049503,            0.051164,             0.20183,            0.067566,            0.021648,            0.087275,            0.080055,            0.048562,            0.048644,           0.0056436,           0.0056436
                   2,            0.077348,            0.090002,             0.04095,             0.53886,             0.22174,              0.1271,            0.037769,            0.080127,            0.063324,            0.038236,             0.02243,           0.0084297,           0.0084297
                   3,            0.076031,              0.0891,            0.034625,             0.52529,             0.25387,              0.2322,            0.083269,             0.07479,            0.071053,            0.032751,            0.009703,            0.009703,            0.009703
                   4,            0.070206,            0.087634,            0.029181,             0.47005,             0.44392,             0.32919,             0.13124,            0.069711,            0.060848,            0.028986,            0.009703,            0.009703,            0.009703
                   5,             0.06525,            0.084882,            0.027505,             0.53083,             0.40374,             0.38317,             0.16088,            0.064428,            0.059437,            0.025656,            0.009604,            0.009604,            0.009604
                   6,            0.062011,            0.087829,            0.023142,             0.54885,             0.54405,             0.50205,             0.19697,             0.05615,            0.061092,            0.023234,            0.009505,            0.009505,            0.009505
                   7,            0.058882,            0.084186,            0.021693,              0.4883,             0.50952,             0.47221,              0.2147,            0.055344,            0.061218,            0.021659,            0.009406,            0.009406,            0.009406
                   8,            0.056943,            0.080567,            0.019712,             0.66393,              0.5633,             0.57675,             0.24101,            0.054025,            0.061314,            0.020083,            0.009307,            0.009307,            0.009307
                   9,            0.055156,            0.080347,            0.017976,             0.60634,             0.51206,             0.52822,             0.22457,            0.055361,            0.059376,            0.018871,            0.009208,            0.009208,            0.009208
                  10,            0.054029,             0.07823,            0.016712,             0.69608,             0.57402,             0.61104,             0.28114,            0.051554,            0.060143,             0.01744,            0.009109,            0.009109,            0.009109
                  11,              0.0524,            0.079181,            0.015908,             0.64763,             0.59672,             0.59282,             0.26875,            0.051962,            0.062595,            0.017514,             0.00901,             0.00901,             0.00901
                  12,            0.052468,            0.080775,            0.014832,              0.7698,             0.64051,             0.67088,             0.30973,            0.050559,            0.062183,            0.016285,            0.008911,            0.008911,            0.008911
                  13,            0.050072,            0.077869,            0.013421,             0.72131,             0.61957,             0.66435,              0.2895,            0.052472,            0.062531,             0.01549,            0.008812,            0.008812,            0.008812
                  14,            0.049943,            0.078838,            0.012618,             0.66186,             0.59308,             0.63557,             0.30677,            0.051293,            0.061588,            0.015388,            0.008713,            0.008713,            0.008713
                  15,            0.049696,             0.07736,            0.011656,             0.73496,             0.63472,             0.70341,             0.31849,            0.050219,            0.060719,            0.014218,            0.008614,            0.008614,            0.008614
                  16,            0.049083,            0.074779,            0.011667,              0.7912,             0.63141,                0.73,             0.32986,            0.049419,            0.062679,            0.014231,            0.008515,            0.008515,            0.008515
                  17,            0.046926,            0.075137,            0.010696,             0.61969,             0.71363,             0.69789,             0.33013,            0.048451,            0.063034,            0.013793,            0.008416,            0.008416,            0.008416
                  18,            0.046599,            0.073279,            0.010167,             0.68332,             0.72219,             0.76896,             0.37449,            0.047954,            0.062088,            0.013532,            0.008317,            0.008317,            0.008317
                  19,            0.046865,            0.074526,           0.0096962,             0.70727,             0.69048,             0.72242,             0.35545,            0.046982,            0.063908,            0.013177,            0.008218,            0.008218,            0.008218
                  20,            0.045259,            0.070683,           0.0099148,             0.68287,             0.73313,              0.7204,             0.34169,            0.047123,            0.064301,            0.012781,            0.008119,            0.008119,            0.008119
                  21,             0.04544,            0.074994,           0.0095877,             0.70481,             0.71239,             0.72275,              0.3693,            0.045962,            0.065243,            0.012982,             0.00802,             0.00802,             0.00802
                  22,             0.04464,            0.077103,           0.0094059,             0.74254,             0.66235,             0.73648,             0.37151,            0.047904,            0.065769,            0.012656,            0.007921,            0.007921,            0.007921
                  23,            0.045975,            0.075832,           0.0094109,             0.82366,             0.72098,              0.7769,             0.36139,            0.046678,            0.064449,            0.012267,            0.007822,            0.007822,            0.007822
                  24,             0.04485,            0.075648,           0.0091338,             0.77863,             0.66386,              0.7257,             0.34561,            0.048394,            0.066933,            0.012839,            0.007723,            0.007723,            0.007723
                  25,            0.043755,            0.071446,           0.0088086,             0.75427,             0.72866,             0.73914,             0.38205,            0.045428,            0.066128,            0.012298,            0.007624,            0.007624,            0.007624
                  26,            0.043797,            0.072822,           0.0081647,             0.81489,             0.68014,             0.76613,             0.34066,            0.048207,            0.065918,            0.012626,            0.007525,            0.007525,            0.007525
                  27,            0.043006,            0.067945,           0.0082667,              0.7966,             0.64617,              0.7498,             0.39451,            0.045839,            0.065918,            0.011709,            0.007426,            0.007426,            0.007426
                  28,            0.042376,            0.067616,           0.0082426,             0.78416,             0.74154,             0.77372,             0.36342,            0.046612,            0.064205,            0.011504,            0.007327,            0.007327,            0.007327
                  29,            0.042826,             0.06738,           0.0076924,             0.77055,             0.69449,             0.75373,              0.3553,            0.047321,            0.068371,              0.0115,            0.007228,            0.007228,            0.007228
                  30,            0.041521,            0.068481,           0.0074984,             0.81696,             0.66382,              0.7611,             0.33801,              0.0473,            0.068211,            0.011405,            0.007129,            0.007129,            0.007129
                  31,            0.041648,            0.077071,           0.0077013,             0.83811,             0.64452,             0.76518,             0.37352,            0.044665,            0.066803,            0.011176,             0.00703,             0.00703,             0.00703
                  32,            0.040957,            0.069306,           0.0072503,             0.80101,             0.67322,              0.7442,             0.36881,             0.04589,            0.067123,            0.011781,            0.006931,            0.006931,            0.006931
                  33,            0.040287,            0.068686,           0.0071471,             0.83592,             0.68066,             0.74911,              0.3972,            0.045494,            0.065815,            0.011175,            0.006832,            0.006832,            0.006832
                  34,            0.040939,            0.069481,           0.0065557,             0.79615,             0.73931,             0.77114,             0.38466,            0.045554,            0.067013,            0.011202,            0.006733,            0.006733,            0.006733
                  35,            0.041167,            0.071105,           0.0066072,             0.82528,             0.72105,             0.75803,             0.38785,            0.045373,            0.068562,            0.011301,            0.006634,            0.006634,            0.006634
                  36,            0.039969,             0.06951,           0.0065441,             0.81673,             0.73701,             0.75815,             0.36983,            0.045894,            0.068504,             0.01167,            0.006535,            0.006535,            0.006535
                  37,            0.040759,            0.075413,           0.0065913,             0.72043,             0.76062,             0.75639,              0.3872,            0.044045,            0.069618,             0.01263,            0.006436,            0.006436,            0.006436
                  38,            0.040796,            0.069301,           0.0063512,             0.80149,             0.69196,             0.74606,             0.36505,            0.044756,             0.06908,            0.011768,            0.006337,            0.006337,            0.006337
                  39,            0.039182,            0.063685,           0.0064753,              0.7504,              0.7277,             0.73049,             0.37195,            0.044382,            0.070259,            0.011518,            0.006238,            0.006238,            0.006238
                  40,            0.038879,            0.069226,           0.0062371,             0.76763,             0.72154,             0.73337,             0.34059,            0.047166,            0.070854,            0.011695,            0.006139,            0.006139,            0.006139
                  41,            0.039386,            0.069506,           0.0061544,             0.74676,             0.73815,             0.76157,             0.38781,             0.04464,            0.070747,            0.011558,             0.00604,             0.00604,             0.00604
                  42,             0.03886,            0.067604,           0.0062429,              0.8174,             0.67294,             0.75668,             0.36997,            0.045132,            0.071888,            0.011301,            0.005941,            0.005941,            0.005941
                  43,            0.038422,            0.068568,           0.0056923,             0.78109,             0.73847,             0.75461,             0.35965,            0.044687,            0.071133,            0.010983,            0.005842,            0.005842,            0.005842
                  44,            0.037916,            0.069998,           0.0058665,             0.79979,              0.7171,             0.75205,             0.35554,            0.045276,            0.072193,            0.010357,            0.005743,            0.005743,            0.005743
                  45,            0.037396,            0.066079,           0.0052974,             0.82448,             0.72148,              0.7654,             0.37793,            0.044164,            0.071003,             0.01018,            0.005644,            0.005644,            0.005644
                  46,            0.037289,            0.069766,           0.0053664,              0.8098,             0.69136,             0.74295,             0.38311,            0.044505,            0.070866,             0.01107,            0.005545,            0.005545,            0.005545
                  47,            0.037366,            0.066728,           0.0059218,             0.80212,              0.7135,             0.77179,              0.3956,            0.043948,            0.070499,            0.011016,            0.005446,            0.005446,            0.005446
                  48,            0.037464,             0.06772,           0.0057541,             0.77317,              0.7211,             0.75547,             0.38929,            0.044499,            0.073101,            0.011478,            0.005347,            0.005347,            0.005347
                  49,            0.037126,            0.064937,           0.0054564,             0.83255,             0.73689,              0.7783,             0.38739,            0.043623,             0.06953,            0.011585,            0.005248,            0.005248,            0.005248
                  50,             0.03653,            0.064726,             0.00512,             0.82461,             0.71769,               0.773,             0.38081,            0.044614,            0.071812,             0.01174,            0.005149,            0.005149,            0.005149
                  51,             0.03653,            0.063261,           0.0051023,             0.80957,             0.74511,             0.77411,             0.40806,            0.043537,            0.071457,             0.01167,             0.00505,             0.00505,             0.00505
                  52,            0.036413,            0.059954,           0.0055407,             0.85954,             0.71828,             0.77559,             0.38798,            0.044701,            0.072643,            0.011646,            0.004951,            0.004951,            0.004951
                  53,            0.036476,            0.063333,           0.0051847,             0.79591,              0.7477,             0.77668,             0.39861,            0.043627,            0.071552,            0.011119,            0.004852,            0.004852,            0.004852
                  54,            0.035421,            0.065659,           0.0053208,             0.86903,              0.7163,             0.77111,             0.38707,            0.044469,            0.071114,             0.01084,            0.004753,            0.004753,            0.004753
                  55,            0.035375,            0.065963,           0.0054069,             0.84289,             0.74239,              0.7804,             0.39927,            0.043894,            0.069538,            0.010578,            0.004654,            0.004654,            0.004654
                  56,             0.03607,            0.064604,           0.0045164,             0.80743,             0.73438,             0.75876,             0.38244,            0.044681,            0.070602,            0.010697,            0.004555,            0.004555,            0.004555
                  57,            0.035786,            0.066157,           0.0048466,             0.82674,             0.74778,              0.7767,             0.38679,            0.043451,            0.070221,            0.010618,            0.004456,            0.004456,            0.004456
                  58,            0.034868,            0.061025,           0.0049043,             0.84408,             0.71995,             0.76801,              0.3858,            0.044328,            0.072506,            0.010839,            0.004357,            0.004357,            0.004357
                  59,            0.034603,            0.061229,           0.0045783,             0.83257,             0.71323,             0.78555,             0.38767,            0.043978,            0.072063,            0.010713,            0.004258,            0.004258,            0.004258
                  60,            0.035395,            0.065116,           0.0045367,             0.83606,             0.72524,             0.77082,             0.40098,            0.044018,            0.072517,            0.010577,            0.004159,            0.004159,            0.004159
                  61,            0.034812,            0.062642,           0.0044513,             0.81892,             0.71544,             0.76167,             0.40303,            0.043565,            0.072048,            0.010768,             0.00406,             0.00406,             0.00406
                  62,            0.034297,              0.0656,            0.004327,             0.84193,             0.72605,             0.79224,             0.41358,            0.043211,            0.072304,            0.010608,            0.003961,            0.003961,            0.003961
                  63,            0.034503,            0.061951,           0.0044605,             0.87192,             0.70506,             0.77845,             0.40474,            0.043344,            0.074306,            0.011055,            0.003862,            0.003862,            0.003862
                  64,            0.033764,            0.059898,           0.0039235,             0.81894,              0.7218,             0.75444,             0.37558,            0.045023,            0.075993,             0.01119,            0.003763,            0.003763,            0.003763
                  65,            0.033913,            0.064581,           0.0043119,             0.84087,             0.74954,             0.78145,             0.40224,            0.043711,            0.075344,            0.010954,            0.003664,            0.003664,            0.003664
                  66,            0.033922,            0.064228,           0.0043026,             0.85426,             0.74669,             0.78472,             0.40738,            0.043805,            0.074829,            0.011099,            0.003565,            0.003565,            0.003565
                  67,            0.033193,            0.057498,           0.0041625,             0.80987,             0.74042,             0.77747,             0.40549,             0.04396,            0.073959,            0.011346,            0.003466,            0.003466,            0.003466
                  68,             0.03332,            0.063134,           0.0040038,             0.81002,             0.67758,             0.73928,              0.3916,            0.044023,            0.074512,            0.011419,            0.003367,            0.003367,            0.003367
                  69,             0.03271,            0.061646,           0.0040606,             0.81206,             0.72363,             0.75548,             0.40398,            0.044389,            0.074585,            0.011309,            0.003268,            0.003268,            0.003268
                  70,            0.032812,            0.063322,           0.0036135,             0.85155,             0.71816,             0.78582,             0.41401,             0.04382,             0.07225,            0.011342,            0.003169,            0.003169,            0.003169
                  71,            0.032814,            0.061378,           0.0041693,             0.85804,             0.74056,             0.79292,              0.3936,            0.043951,            0.072071,            0.010904,             0.00307,             0.00307,             0.00307
                  72,            0.032531,            0.056694,           0.0040683,             0.81294,             0.76773,             0.78869,             0.41417,            0.043318,            0.073814,             0.01074,            0.002971,            0.002971,            0.002971
                  73,            0.032341,            0.059201,           0.0039192,             0.80985,             0.72069,             0.76341,             0.39299,            0.044012,            0.073929,            0.010721,            0.002872,            0.002872,            0.002872
                  74,            0.031604,            0.058467,           0.0036074,             0.82432,             0.72541,             0.77076,             0.39737,            0.042991,            0.073952,            0.010857,            0.002773,            0.002773,            0.002773
                  75,            0.031808,            0.059047,           0.0041735,             0.83559,              0.6922,             0.77361,             0.39739,            0.042815,            0.074497,             0.01111,            0.002674,            0.002674,            0.002674
                  76,            0.031862,            0.062382,            0.003984,             0.82583,             0.70703,             0.78347,             0.40543,            0.042219,            0.072662,            0.010729,            0.002575,            0.002575,            0.002575
                  77,             0.03125,            0.059188,           0.0035398,              0.8547,              0.6871,             0.77569,             0.39232,            0.042589,            0.074875,            0.010345,            0.002476,            0.002476,            0.002476
                  78,            0.031768,            0.057176,           0.0035648,              0.8594,             0.71453,              0.7868,             0.39102,            0.042706,            0.074184,            0.010162,            0.002377,            0.002377,            0.002377
                  79,            0.032033,            0.060376,           0.0037248,             0.82002,             0.67936,              0.7518,             0.37535,            0.043091,            0.073925,            0.010211,            0.002278,            0.002278,            0.002278
                  80,            0.030932,            0.057875,           0.0032188,             0.82828,             0.67521,             0.75151,             0.37992,            0.043337,             0.07444,            0.010248,            0.002179,            0.002179,            0.002179
                  81,            0.030613,             0.05671,           0.0033802,             0.81524,             0.71661,             0.76538,             0.37994,            0.043478,            0.075188,            0.010594,             0.00208,             0.00208,             0.00208
                  82,            0.030429,            0.057059,           0.0035053,             0.85343,             0.70138,              0.7591,             0.38583,            0.044323,            0.077141,             0.01069,            0.001981,            0.001981,            0.001981
                  83,            0.030635,            0.059603,           0.0033615,             0.82195,             0.73287,             0.77411,             0.41686,            0.042682,            0.075451,            0.010759,            0.001882,            0.001882,            0.001882
                  84,            0.030447,            0.057071,           0.0029251,             0.84824,             0.70862,             0.77008,              0.4034,             0.04361,            0.076752,            0.010736,            0.001783,            0.001783,            0.001783
                  85,            0.030954,            0.061948,           0.0035259,             0.85576,              0.7203,             0.78833,             0.41105,            0.043052,            0.075642,            0.010517,            0.001684,            0.001684,            0.001684
                  86,            0.030028,            0.057139,           0.0032206,             0.82668,             0.74927,             0.78292,             0.39967,            0.043161,            0.076756,            0.010648,            0.001585,            0.001585,            0.001585
                  87,            0.029881,            0.059175,           0.0032676,             0.82344,             0.71459,              0.7656,             0.40779,            0.043339,            0.076797,            0.010609,            0.001486,            0.001486,            0.001486
                  88,            0.030704,            0.058431,           0.0035635,             0.84237,             0.71044,             0.77945,             0.40847,            0.043291,            0.075932,            0.010484,            0.001387,            0.001387,            0.001387
                  89,            0.029767,            0.058271,           0.0037907,             0.81639,             0.73572,             0.77117,             0.41226,            0.043137,            0.076271,            0.010468,            0.001288,            0.001288,            0.001288
                  90,             0.02946,            0.056573,           0.0032821,             0.83528,             0.71679,             0.76577,             0.38683,            0.043653,            0.077957,            0.010509,            0.001189,            0.001189,            0.001189
                  91,            0.030589,            0.056952,           0.0031359,             0.82209,             0.73078,             0.76867,              0.4127,            0.043386,            0.076366,            0.010621,             0.00109,             0.00109,             0.00109
                  92,            0.030036,            0.062629,            0.003166,             0.83747,             0.72434,             0.77851,             0.41512,            0.042719,            0.074802,            0.010413,            0.000991,            0.000991,            0.000991
                  93,            0.029257,            0.059043,           0.0030697,             0.83377,             0.70351,             0.77111,             0.40695,            0.042899,            0.075211,            0.010465,            0.000892,            0.000892,            0.000892
                  94,             0.02931,             0.06041,           0.0034297,             0.82757,             0.70698,             0.77388,             0.39701,            0.043099,            0.076485,             0.01048,            0.000793,            0.000793,            0.000793
                  95,            0.029424,            0.056214,           0.0030645,             0.84482,             0.70275,             0.77009,             0.41264,            0.042751,            0.077602,            0.010374,            0.000694,            0.000694,            0.000694
                  96,            0.029438,            0.055748,           0.0032956,             0.85726,             0.69993,             0.76365,             0.39732,            0.043282,            0.078201,            0.010435,            0.000595,            0.000595,            0.000595
                  97,            0.029089,            0.057361,           0.0029816,             0.85573,             0.71342,             0.77791,             0.40605,            0.043009,            0.077427,            0.010331,            0.000496,            0.000496,            0.000496
                  98,            0.029285,            0.057979,           0.0031935,             0.85947,             0.71223,             0.77464,             0.40342,            0.042944,             0.07703,             0.01035,            0.000397,            0.000397,            0.000397
                  99,            0.029044,            0.057069,           0.0031273,             0.81501,             0.71775,             0.77032,             0.40902,            0.042656,            0.076744,            0.010341,            0.000298,            0.000298,            0.000298
