               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,       sparsity_rate
                   0,             0.03338,            0.023167,           0.0068447,             0.65578,             0.31791,             0.38146,             0.14256,            0.037097,            0.017188,            0.013679,             1.4e-05,             1.4e-05,            0.049314,                   0
                   1,            0.033337,            0.024645,           0.0061329,             0.63973,             0.42217,             0.42216,             0.16933,            0.034566,            0.018964,           0.0090122,          2.8994e-05,          2.8994e-05,            0.048579,                   0
                   2,            0.033356,            0.023305,           0.0066563,             0.64458,             0.46731,             0.48074,             0.17913,             0.03725,            0.013329,           0.0083191,          4.3962e-05,          4.3962e-05,            0.047844,                   0
                   3,            0.033158,            0.022595,           0.0064559,             0.58664,             0.44924,             0.52411,             0.21301,            0.034983,            0.014043,           0.0078977,          5.8885e-05,          5.8885e-05,            0.047109,                   0
                   4,            0.033141,            0.022307,           0.0067906,             0.60199,             0.49283,             0.50589,             0.22678,            0.034776,            0.013114,           0.0065622,          7.3743e-05,          7.3743e-05,            0.046374,                   0
                   5,            0.032734,            0.025628,           0.0061713,             0.71341,             0.58179,             0.62537,              0.2709,            0.030223,            0.018823,           0.0074451,          8.8518e-05,          8.8518e-05,            0.045639,                   0
                   6,            0.032871,            0.023273,           0.0063029,             0.69153,             0.57119,             0.59265,             0.26693,            0.032027,            0.014576,           0.0063178,          0.00010319,          0.00010319,            0.044903,                   0
                   7,            0.033182,             0.02403,           0.0062706,              0.6027,             0.58243,             0.57222,             0.25681,            0.032426,            0.017195,           0.0069852,          0.00011774,          0.00011774,            0.044168,                   0
                   8,            0.032531,            0.021887,             0.00617,             0.72821,             0.43538,             0.47793,             0.19651,            0.038179,            0.014936,           0.0072016,          0.00013215,          0.00013215,            0.043432,                   0
                   9,            0.032333,            0.023667,           0.0060025,             0.70425,             0.61038,             0.63927,             0.28184,             0.03059,            0.013279,           0.0051098,           0.0001464,           0.0001464,            0.042696,                   0
                  10,            0.031599,            0.022061,           0.0057662,             0.71461,              0.6134,             0.65924,             0.29096,            0.030854,            0.012139,           0.0056302,          0.00016047,          0.00016047,             0.04196,                   0
                  11,              0.0318,            0.022084,           0.0056309,             0.70364,             0.53696,              0.5711,             0.25288,              0.0335,            0.013472,           0.0055113,          0.00017434,          0.00017434,            0.041224,                   0
                  12,            0.032697,            0.022044,           0.0062577,             0.70074,             0.52608,             0.57955,             0.25761,            0.032189,            0.013892,           0.0063096,          0.00018801,          0.00018801,            0.040488,                   0
                  13,            0.031652,            0.022283,           0.0058021,              0.7403,             0.54486,             0.63444,             0.27402,            0.033008,            0.013126,           0.0066043,          0.00020144,          0.00020144,            0.039751,                   0
                  14,            0.031678,            0.024356,            0.005754,              0.6388,             0.63787,             0.65504,             0.30733,             0.03012,            0.012698,            0.006097,          0.00021462,          0.00021462,            0.039015,                   0
                  15,            0.032038,            0.023778,           0.0057179,              0.6398,             0.71721,             0.68539,             0.29853,            0.029961,            0.012108,           0.0056889,          0.00022754,          0.00022754,            0.038278,                   0
                  16,            0.031379,            0.021155,            0.005461,             0.73426,             0.64666,             0.69085,             0.28281,             0.02972,            0.012397,           0.0051996,          0.00024018,          0.00024018,             0.03754,                   0
                  17,            0.031365,            0.021296,           0.0056519,             0.76929,             0.60805,             0.69178,             0.30564,            0.030399,            0.012609,           0.0049838,          0.00025252,          0.00025252,            0.036803,                   0
                  18,            0.031153,            0.023677,           0.0056788,              0.7149,             0.59733,             0.65379,             0.27971,            0.031411,             0.01372,           0.0053848,          0.00026455,          0.00026455,            0.036065,                   0
                  19,            0.030614,             0.02277,           0.0055672,              0.7315,             0.56475,             0.62652,             0.28195,            0.030554,             0.01295,           0.0057096,          0.00027625,          0.00027625,            0.035326,                   0
                  20,            0.031233,            0.021195,           0.0055253,             0.63823,             0.64666,             0.61986,             0.27265,            0.031501,            0.014097,            0.006209,          0.00028761,          0.00028761,            0.034588,                   0
                  21,            0.031323,            0.022878,           0.0056321,             0.70607,             0.60027,               0.631,             0.29334,            0.031005,            0.013316,           0.0058745,          0.00029862,          0.00029862,            0.033849,                   0
                  22,            0.031725,             0.02351,           0.0054647,             0.70735,             0.63047,             0.67055,              0.2662,            0.031265,            0.012644,           0.0057858,          0.00030926,          0.00030926,            0.033109,                   0
                  23,            0.030667,            0.022385,           0.0052534,             0.74158,             0.64893,             0.70073,              0.3201,            0.028754,            0.012182,           0.0052651,          0.00031953,          0.00031953,             0.03237,                   0
                  24,            0.031208,            0.022057,           0.0053515,             0.73018,             0.59255,             0.66324,             0.29489,            0.030742,             0.01406,           0.0057812,           0.0003294,           0.0003294,            0.031629,                   0
                  25,            0.030315,            0.021609,             0.00549,             0.76398,             0.61281,             0.68057,             0.32494,            0.028608,            0.012322,           0.0051079,          0.00033887,          0.00033887,            0.030889,                   0
                  26,            0.031307,            0.022411,           0.0055573,             0.70812,             0.55362,             0.59003,             0.25897,            0.031189,            0.014199,           0.0054543,          0.00034793,          0.00034793,            0.030148,                   0
                  27,            0.030672,            0.022322,           0.0053578,             0.61271,             0.59665,             0.60641,             0.26343,            0.033091,            0.024702,            0.011746,          0.00035656,          0.00035656,            0.029407,                   0
                  28,            0.030712,            0.021855,            0.005281,             0.66549,             0.69011,             0.64456,             0.29896,            0.031058,            0.016836,           0.0072773,          0.00036476,          0.00036476,            0.028665,                   0
                  29,            0.030581,            0.022436,           0.0052152,               0.761,             0.61807,             0.69894,             0.30888,            0.030259,            0.015998,           0.0052831,          0.00037253,          0.00037253,            0.027923,                   0
                  30,             0.03055,            0.022888,           0.0053455,             0.71165,             0.57201,             0.60134,             0.27366,            0.030527,            0.015434,           0.0086434,          0.00037984,          0.00037984,             0.02718,                   0
                  31,            0.030328,            0.022832,           0.0056167,             0.70801,             0.61929,             0.64653,              0.2849,            0.029427,            0.012253,           0.0056199,           0.0003867,           0.0003867,            0.026437,                   0
                  32,            0.031107,            0.022763,            0.005623,             0.75276,             0.63625,             0.69933,             0.32307,            0.028453,            0.012154,           0.0058932,          0.00039311,          0.00039311,            0.025693,                   0
                  33,             0.03067,            0.021794,           0.0049279,             0.67448,              0.6441,              0.6262,             0.26394,            0.031585,            0.011952,           0.0088993,          0.00039904,          0.00039904,            0.024949,                   0
                  34,            0.030551,            0.022084,           0.0050747,             0.77356,             0.63484,             0.71322,             0.31691,            0.028791,            0.012679,           0.0056781,          0.00040451,          0.00040451,            0.024205,                   0
                  35,            0.030051,            0.021263,           0.0049901,               0.797,             0.61658,             0.68441,             0.30486,            0.028816,            0.012169,           0.0065953,          0.00040951,          0.00040951,             0.02346,                   0
                  36,            0.030952,            0.022438,           0.0053126,             0.71026,             0.67576,             0.69161,             0.35494,            0.027911,            0.019269,           0.0056052,          0.00041403,          0.00041403,            0.022714,                   0
                  37,            0.030358,            0.020488,           0.0050977,             0.71961,             0.70119,              0.6994,             0.30833,            0.029238,            0.011738,           0.0044397,          0.00041807,          0.00041807,            0.021968,                   0
                  38,            0.030888,            0.021739,           0.0053005,             0.77556,             0.64607,             0.69838,              0.3366,             0.02813,            0.012351,           0.0043717,          0.00042163,          0.00042163,            0.021222,                   0
                  39,            0.029367,            0.022245,           0.0051032,             0.70526,             0.64791,             0.67563,             0.32855,            0.028102,            0.012512,           0.0052151,          0.00042472,          0.00042472,            0.020475,                   0
                  40,            0.030142,            0.022588,           0.0048545,             0.65125,             0.61372,             0.62883,             0.29001,            0.029105,             0.01353,           0.0054773,          0.00042732,          0.00042732,            0.019727,                   0
                  41,            0.030742,            0.021962,           0.0051799,             0.73824,              0.6336,             0.68679,             0.30169,            0.029386,            0.012508,           0.0048398,          0.00042945,          0.00042945,            0.018979,                   0
                  42,            0.029561,            0.021025,           0.0047081,             0.74354,             0.54316,             0.63939,              0.2828,            0.029594,            0.013619,           0.0052783,          0.00043111,          0.00043111,            0.018231,                   0
