               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10022,              0.1185,            0.060913,          0.00044799,            0.017857,          0.00024203,          5.1458e-05,             0.09511,            0.086992,            0.060335,             0.00028,             0.00028,             0.09748
                   1,            0.091729,             0.12023,            0.053588,          0.00084895,            0.010357,          0.00070655,           0.0001647,             0.10704,            0.077621,            0.059534,          0.00056987,          0.00056987,             0.09487
                   2,            0.088632,             0.11946,            0.052247,                   0,                   0,                   0,                   0,             0.09913,             0.10958,            0.075449,          0.00085924,          0.00085924,            0.092259
                   3,            0.086376,             0.12066,            0.049869,                   0,                   0,                   0,                   0,             0.10331,             0.09882,            0.096473,           0.0011477,           0.0011477,            0.089648
                   4,            0.084709,             0.12358,            0.048806,             0.22695,            0.013651,             0.00701,           0.0010508,            0.093689,             0.10244,            0.071653,           0.0014349,           0.0014349,            0.087035
                   5,            0.082346,             0.11688,            0.047368,             0.30774,             0.11394,            0.014985,            0.003909,            0.085875,            0.084132,            0.053658,           0.0017204,           0.0017204,             0.08442
                   6,            0.082159,              0.1178,            0.045041,             0.11309,             0.16883,            0.020585,           0.0037471,            0.088191,             0.08383,            0.052989,           0.0020039,           0.0020039,            0.081804
                   7,            0.080623,             0.11989,            0.043631,             0.46409,            0.075205,            0.018802,           0.0037829,            0.084396,            0.096116,            0.056673,            0.002285,            0.002285,            0.079185
                   8,            0.077813,             0.11523,            0.040639,             0.39437,            0.078581,            0.015688,           0.0040328,            0.084382,            0.087712,             0.05279,           0.0025632,           0.0025632,            0.076563
                   9,            0.076725,             0.11681,            0.038483,             0.46811,              0.1073,             0.03807,            0.012533,            0.082936,             0.10599,            0.043622,           0.0028384,           0.0028384,            0.073938
                  10,            0.076715,             0.11727,            0.037787,             0.50689,            0.093841,            0.060672,            0.016279,            0.083117,             0.12275,            0.039867,             0.00311,             0.00311,             0.07131
                  11,            0.075007,              0.1088,            0.036001,             0.47616,            0.099873,             0.04902,            0.013225,            0.080843,            0.085757,            0.052392,           0.0033777,           0.0033777,            0.068678
                  12,            0.074095,             0.10829,            0.035083,             0.60941,             0.12746,            0.081208,            0.017808,            0.081982,            0.095558,             0.04508,           0.0036412,           0.0036412,            0.066041
                  13,            0.074915,             0.11223,            0.032845,             0.40999,             0.15435,            0.065161,             0.01623,            0.076222,             0.15818,            0.049128,           0.0039001,           0.0039001,              0.0634
                  14,            0.072886,             0.11198,            0.031592,              0.4504,            0.079733,            0.067676,             0.01685,            0.089489,             0.14556,             0.21855,           0.0041541,           0.0041541,            0.060754
                  15,            0.071911,             0.11796,            0.029818,             0.61921,             0.13028,            0.097353,             0.02836,            0.081331,            0.095446,             0.11556,           0.0044029,           0.0044029,            0.058103
                  16,            0.071377,             0.11259,            0.029246,             0.21889,             0.31397,             0.15495,            0.043916,            0.076295,            0.083799,            0.033472,           0.0046461,           0.0046461,            0.055446
                  17,            0.070143,             0.12007,            0.027293,             0.47013,              0.2591,             0.22257,            0.063136,            0.072731,            0.083427,            0.029706,           0.0048835,           0.0048835,            0.052784
                  18,            0.069317,             0.11341,            0.025637,             0.46443,             0.28604,             0.25064,            0.072226,             0.07005,            0.078929,            0.026973,           0.0051147,           0.0051147,            0.050115
                  19,            0.068404,             0.10685,            0.024339,             0.42559,             0.20564,             0.17694,            0.061108,            0.070646,            0.078869,            0.031774,           0.0053395,           0.0053395,            0.047439
                  20,            0.068732,             0.11502,            0.024424,             0.41632,                0.29,             0.24493,            0.081102,            0.068018,            0.081801,            0.027157,           0.0055575,           0.0055575,            0.044757
                  21,            0.067376,             0.11095,            0.022573,              0.3512,             0.26987,             0.25114,            0.078061,            0.068125,            0.076303,            0.033363,           0.0057685,           0.0057685,            0.042068
                  22,            0.067821,             0.11034,            0.024325,             0.49739,             0.26266,             0.23718,            0.064267,              0.0723,            0.077543,            0.029912,           0.0059722,           0.0059722,            0.039372
                  23,            0.066632,             0.11309,            0.022931,             0.38142,             0.29741,             0.26109,            0.080839,            0.066877,            0.083592,            0.024785,           0.0061685,           0.0061685,            0.036668
                  24,            0.068486,             0.10865,            0.021899,             0.43923,             0.29949,             0.24473,            0.075451,            0.067728,            0.092406,            0.021991,            0.006357,            0.006357,            0.033957
                  25,            0.066995,             0.11494,             0.02204,             0.43979,             0.30669,             0.24952,            0.069555,             0.06817,             0.08343,            0.021891,           0.0065375,           0.0065375,            0.031238
                  26,            0.065992,              0.1041,            0.020474,              0.5128,             0.29833,             0.29626,            0.094779,            0.066924,            0.080191,            0.021796,           0.0067099,           0.0067099,             0.02851
                  27,            0.065013,             0.10291,            0.020423,             0.40174,             0.39228,             0.31294,             0.10444,            0.064971,             0.07806,            0.025703,            0.006874,            0.006874,            0.025774
                  28,             0.06478,             0.11001,            0.020302,             0.35743,              0.4109,              0.3429,             0.10937,            0.065775,            0.076245,            0.027002,           0.0070295,           0.0070295,            0.023029
                  29,             0.06487,             0.10869,            0.019514,             0.45906,             0.39814,              0.3466,             0.11712,             0.06532,             0.07726,            0.021616,           0.0071763,           0.0071763,            0.020276
                  30,            0.063111,             0.11101,            0.018789,             0.57045,             0.34237,             0.33508,             0.12283,             0.06293,            0.076067,            0.019619,           0.0073142,           0.0073142,            0.017514
