               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09946,             0.10856,            0.058184,          0.00033765,            0.014643,          0.00015281,          3.4515e-05,            0.092679,            0.088088,            0.058292,             0.00028,             0.00028,             0.09748
                   1,            0.090787,             0.12206,            0.052768,            0.071899,            0.022857,          0.00027648,          5.2327e-05,            0.097722,            0.083688,            0.057476,          0.00056987,          0.00056987,             0.09487
                   2,            0.087915,             0.11066,            0.052085,             0.57333,           0.0096429,           0.0011028,          0.00019428,             0.10476,            0.079489,            0.057471,          0.00085924,          0.00085924,            0.092259
                   3,            0.085122,             0.12439,            0.049392,                   0,                   0,                   0,                   0,             0.10635,            0.084415,            0.070262,           0.0011477,           0.0011477,            0.089648
                   4,            0.083397,             0.12169,            0.049402,             0.51629,            0.070245,           0.0079997,           0.0023509,            0.092934,            0.082919,            0.057783,           0.0014349,           0.0014349,            0.087035
                   5,            0.081913,             0.11968,            0.047779,             0.54502,             0.14661,            0.020849,           0.0050919,            0.082668,             0.10174,            0.052712,           0.0017204,           0.0017204,             0.08442
                   6,            0.080682,             0.11435,            0.045311,             0.59288,            0.033452,            0.015728,           0.0031613,            0.087372,             0.12572,            0.049767,           0.0020039,           0.0020039,            0.081804
                   7,            0.079037,             0.11453,            0.042969,             0.67437,            0.062541,            0.020484,           0.0051104,            0.080931,            0.097594,            0.044548,            0.002285,            0.002285,            0.079185
                   8,            0.077878,             0.11323,            0.041217,              0.6079,            0.029537,             0.01719,             0.00395,            0.086693,             0.11413,            0.054063,           0.0025632,           0.0025632,            0.076563
                   9,             0.07609,             0.11858,            0.039123,             0.73046,            0.051698,            0.041879,           0.0083596,            0.080918,            0.092751,            0.050071,           0.0028384,           0.0028384,            0.073938
                  10,            0.075402,             0.11947,            0.037765,             0.58215,             0.11447,            0.069264,            0.017912,            0.084046,             0.24857,            0.051188,             0.00311,             0.00311,             0.07131
                  11,            0.074585,             0.11402,            0.036431,             0.56539,             0.18803,            0.069829,            0.019483,            0.078262,             0.10449,            0.053561,           0.0033777,           0.0033777,            0.068678
                  12,              0.0737,             0.11587,            0.034866,             0.63266,            0.097312,            0.088156,            0.020094,            0.077634,             0.12135,            0.044568,           0.0036412,           0.0036412,            0.066041
                  13,            0.072208,             0.11719,             0.03288,             0.67495,             0.14371,             0.10801,            0.026182,            0.075715,            0.097877,            0.040444,           0.0039001,           0.0039001,              0.0634
                  14,            0.071569,             0.10975,            0.031094,             0.71126,             0.11677,             0.12702,            0.036608,            0.074129,             0.12946,            0.037461,           0.0041541,           0.0041541,            0.060754
