               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099111,             0.11433,            0.058612,          0.00039868,            0.015357,          0.00019779,          4.1267e-05,            0.093007,             0.08814,            0.058085,             0.00028,             0.00028,             0.09748
                   1,            0.090672,             0.11213,            0.052727,            0.071909,            0.015714,          0.00035356,          9.9053e-05,             0.09932,            0.092463,            0.058943,          0.00056987,          0.00056987,             0.09487
                   2,            0.086279,             0.11588,            0.051655,          0.00022473,             0.00762,          0.00011607,          2.0258e-05,             0.10699,            0.076054,            0.062218,          0.00085924,          0.00085924,            0.092259
                   3,            0.084324,             0.11832,            0.049056,           0.0022995,            0.046744,           0.0014174,          0.00030004,             0.10687,            0.075144,            0.067458,           0.0011477,           0.0011477,            0.089648
                   4,            0.081879,             0.11738,             0.04823,             0.30534,            0.052129,            0.010342,           0.0020758,            0.090932,             0.10523,            0.057106,           0.0014349,           0.0014349,            0.087035
                   5,            0.080088,             0.11884,             0.04439,            0.011982,             0.12294,           0.0085532,           0.0017365,             0.10022,             0.10476,             0.06315,           0.0017204,           0.0017204,             0.08442
                   6,            0.078322,             0.11427,            0.041436,            0.084058,            0.011978,             0.01169,           0.0016942,            0.088661,             0.12735,            0.066213,           0.0020039,           0.0020039,            0.081804
                   7,            0.077614,             0.11561,            0.040544,             0.48404,            0.089805,            0.034963,           0.0074961,            0.081828,             0.12377,            0.055988,            0.002285,            0.002285,            0.079185
                   8,            0.076093,             0.12074,            0.037562,             0.40416,            0.042613,            0.014193,           0.0035464,            0.094026,            0.086997,            0.064107,           0.0025632,           0.0025632,            0.076563
                   9,            0.074672,             0.11161,            0.035112,             0.55554,             0.19857,            0.058208,            0.016604,            0.078741,            0.094255,            0.042773,           0.0028384,           0.0028384,            0.073938
                  10,             0.07435,             0.11259,            0.033917,             0.11684,             0.17486,            0.030494,           0.0057933,            0.089848,             0.20826,            0.051626,             0.00311,             0.00311,             0.07131
                  11,            0.073399,             0.11822,            0.032053,             0.54089,             0.12859,            0.088008,            0.024282,            0.073975,             0.10726,            0.038187,           0.0033777,           0.0033777,            0.068678
                  12,            0.073001,             0.11154,            0.031221,             0.49776,             0.18375,             0.11258,            0.028795,            0.075149,            0.084252,            0.034614,           0.0036412,           0.0036412,            0.066041
                  13,            0.071265,             0.11159,            0.029595,             0.52154,             0.19279,             0.16232,            0.045238,            0.074204,            0.093412,            0.033391,           0.0039001,           0.0039001,              0.0634
                  14,             0.07047,             0.11024,            0.028575,             0.43523,             0.18873,             0.14324,            0.033524,            0.073129,            0.086939,            0.034764,           0.0041541,           0.0041541,            0.060754
                  15,            0.068237,             0.11655,            0.026374,              0.4365,             0.15488,             0.13097,            0.037682,            0.075426,            0.091709,            0.039292,           0.0044029,           0.0044029,            0.058103
                  16,            0.068461,             0.10978,            0.025151,             0.44745,             0.17801,             0.17572,            0.056589,            0.071101,            0.082798,            0.031064,           0.0046461,           0.0046461,            0.055446
                  17,            0.067441,              0.1128,            0.025253,             0.36687,             0.27042,             0.18163,            0.063924,            0.070041,            0.088164,            0.028452,           0.0048835,           0.0048835,            0.052784
                  18,            0.067596,             0.10762,            0.023973,             0.28749,             0.26977,             0.20389,            0.064711,            0.070207,            0.090272,             0.02765,           0.0051147,           0.0051147,            0.050115
                  19,            0.068808,             0.11416,            0.023882,             0.46857,             0.31404,             0.23787,            0.072526,            0.068071,            0.097837,            0.028818,           0.0053395,           0.0053395,            0.047439
                  20,            0.066783,             0.11167,            0.023131,             0.28564,             0.32113,              0.1953,            0.047534,            0.070533,            0.094794,            0.033101,           0.0055575,           0.0055575,            0.044757
                  21,             0.06669,             0.10869,            0.023595,             0.50351,             0.20523,             0.18308,            0.056811,            0.070141,            0.088728,            0.032131,           0.0057685,           0.0057685,            0.042068
                  22,            0.067069,             0.10852,             0.02236,             0.36499,             0.26622,             0.21122,            0.063445,            0.069025,             0.08168,            0.026745,           0.0059722,           0.0059722,            0.039372
                  23,            0.065886,             0.11281,            0.022085,             0.38294,             0.29773,             0.18149,            0.049009,            0.072135,            0.099742,            0.041131,           0.0061685,           0.0061685,            0.036668
                  24,            0.065866,             0.10553,            0.021137,             0.41941,             0.29443,             0.22793,            0.068025,            0.069568,            0.085607,            0.030016,            0.006357,            0.006357,            0.033957
                  25,            0.065338,             0.11145,            0.022082,             0.36636,              0.2929,             0.24347,            0.081202,            0.066717,            0.084016,            0.029807,           0.0065375,           0.0065375,            0.031238
                  26,            0.064709,             0.11429,            0.020192,             0.31843,              0.3184,             0.18156,            0.057288,            0.067381,             0.08709,            0.031478,           0.0067099,           0.0067099,             0.02851
                  27,            0.064355,             0.10732,            0.020283,             0.44589,             0.35449,             0.28615,             0.10245,            0.064505,             0.08733,            0.025688,            0.006874,            0.006874,            0.025774
                  28,            0.063927,             0.10931,            0.020084,             0.39554,              0.3151,             0.30745,            0.096712,            0.064609,            0.079222,            0.022522,           0.0070295,           0.0070295,            0.023029
                  29,            0.063587,             0.10481,            0.018973,             0.50542,             0.31525,             0.30512,             0.11564,            0.064804,              0.0779,            0.023223,           0.0071763,           0.0071763,            0.020276
                  30,            0.062097,             0.10994,            0.018058,             0.43591,             0.38114,             0.35372,             0.11056,            0.062089,            0.078642,            0.021108,           0.0073142,           0.0073142,            0.017514
                  31,            0.061468,             0.10627,            0.016891,             0.49362,             0.35291,             0.35407,              0.1269,            0.061387,            0.078891,            0.021753,           0.0074432,           0.0074432,            0.014743
                  32,            0.061559,             0.10269,            0.017296,              0.5198,             0.30744,             0.32564,             0.10607,            0.064054,             0.07761,            0.021793,           0.0075631,           0.0075631,            0.011963
                  33,            0.062645,             0.10687,            0.017532,              0.5254,             0.35195,             0.34897,             0.11023,            0.065157,            0.076894,            0.024859,           0.0076738,           0.0076738,           0.0091738
                  34,             0.06142,             0.10246,            0.017343,             0.52949,             0.33402,             0.36546,             0.11729,            0.062662,            0.081749,            0.024441,           0.0076679,           0.0076679,           0.0076679
                  35,            0.060064,             0.10409,            0.017188,             0.37539,             0.35716,             0.30044,                0.11,            0.061195,            0.077389,            0.028449,           0.0076679,           0.0076679,           0.0076679
                  36,             0.06088,             0.10185,            0.016742,             0.52026,             0.40319,              0.3866,             0.13715,            0.061659,            0.073506,            0.020686,            0.007543,            0.007543,            0.007543
                  37,            0.060976,             0.10185,            0.016246,             0.52278,             0.40452,             0.37186,             0.12458,            0.061546,            0.075046,            0.018397,            0.007416,            0.007416,            0.007416
                  38,            0.060474,              0.1032,            0.017083,             0.59373,             0.36356,             0.41157,             0.15441,            0.061139,            0.076038,            0.021073,           0.0072872,           0.0072872,           0.0072872
                  39,            0.059111,            0.098743,            0.016312,             0.52224,             0.44292,             0.42426,             0.16121,            0.059328,              0.0734,            0.019893,           0.0071566,           0.0071566,           0.0071566
                  40,            0.059597,              0.1043,            0.014763,             0.63911,             0.46141,             0.46355,              0.1788,            0.060078,            0.073171,             0.01836,           0.0070243,           0.0070243,           0.0070243
                  41,            0.058371,             0.10158,            0.014019,             0.46809,             0.47915,             0.42036,             0.15267,            0.058398,            0.073119,            0.018975,           0.0068906,           0.0068906,           0.0068906
                  42,            0.057671,             0.09877,            0.015035,             0.53029,             0.50544,             0.46034,             0.18093,            0.059351,            0.073844,            0.017074,           0.0067555,           0.0067555,           0.0067555
                  43,            0.057325,             0.10305,            0.014143,              0.5138,             0.43921,             0.46701,              0.1696,            0.057414,            0.073349,            0.017284,           0.0066191,           0.0066191,           0.0066191
