               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10038,             0.10594,            0.059451,          0.00030032,            0.017143,          0.00017342,          3.2411e-05,            0.095391,            0.084646,            0.057563,             0.00028,             0.00028,             0.09748
                   1,            0.091256,             0.12134,            0.052779,           0.0002466,            0.020714,          0.00016063,          2.4762e-05,             0.10338,            0.081748,            0.057727,          0.00056987,          0.00056987,             0.09487
                   2,            0.087829,             0.11908,            0.051899,                   0,                   0,                   0,                   0,             0.10454,            0.092793,             0.06132,          0.00085924,          0.00085924,            0.092259
                   3,            0.085276,             0.12065,            0.049906,             0.14501,           0.0039286,          0.00062075,          0.00014203,              0.1099,            0.075162,             0.06659,           0.0011477,           0.0011477,            0.089648
                   4,            0.083453,             0.11823,            0.048263,             0.14821,            0.015476,             0.00265,           0.0006911,             0.10716,            0.073512,            0.069975,           0.0014349,           0.0014349,            0.087035
                   5,            0.081031,             0.11864,            0.046365,             0.17041,            0.069335,            0.014325,           0.0027629,            0.097843,            0.079459,            0.070883,           0.0017204,           0.0017204,             0.08442
                   6,            0.079899,             0.11436,            0.043916,            0.093843,             0.18793,            0.019783,            0.004901,            0.084037,             0.10552,            0.050387,           0.0020039,           0.0020039,            0.081804
                   7,            0.079527,             0.11857,            0.043735,             0.52958,            0.062928,            0.039083,            0.011333,            0.089666,            0.079515,            0.053512,            0.002285,            0.002285,            0.079185
                   8,            0.078596,             0.12024,             0.04195,             0.46092,             0.14512,             0.05353,            0.011197,            0.093446,            0.092601,            0.066466,           0.0025632,           0.0025632,            0.076563
                   9,            0.075962,              0.1179,            0.038658,             0.54651,            0.093291,            0.044033,           0.0097472,            0.088164,             0.10636,            0.056495,           0.0028384,           0.0028384,            0.073938
                  10,            0.075008,             0.11255,            0.037185,             0.48187,             0.10703,            0.060575,             0.01387,            0.088647,             0.10693,            0.051868,             0.00311,             0.00311,             0.07131
                  11,            0.075171,              0.1164,            0.035556,              0.4537,             0.14048,            0.088046,            0.022703,            0.079881,            0.087804,            0.040363,           0.0033777,           0.0033777,            0.068678
                  12,            0.074758,             0.11642,            0.034257,             0.47256,             0.18652,             0.10749,            0.026103,            0.079107,             0.10797,             0.04137,           0.0036412,           0.0036412,            0.066041
                  13,            0.074048,             0.11122,            0.032907,             0.61982,              0.1754,             0.14034,            0.037324,            0.074022,            0.088213,            0.037342,           0.0039001,           0.0039001,              0.0634
                  14,            0.072294,             0.11968,             0.03109,             0.48699,             0.20864,             0.17329,            0.045041,            0.072362,            0.093735,             0.03179,           0.0041541,           0.0041541,            0.060754
                  15,            0.072151,             0.11436,            0.030389,             0.48593,             0.25093,             0.19444,            0.052038,            0.072996,            0.084482,            0.033357,           0.0044029,           0.0044029,            0.058103
                  16,            0.072095,             0.12072,             0.02858,             0.70014,             0.17049,             0.19238,            0.059614,            0.071285,            0.089555,            0.031727,           0.0046461,           0.0046461,            0.055446
