               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,       sparsity_rate
                   0,            0.093995,             0.10427,            0.054507,             0.30105,            0.010137,           0.0047068,           0.0017113,             0.10278,            0.073218,            0.061237,             0.00028,             0.00028,             0.09748,               0.005
                   1,            0.071584,             0.11113,            0.041683,             0.39431,             0.11161,            0.053409,            0.012114,            0.086858,             0.23915,            0.054974,          0.00056949,          0.00056949,            0.094869,             0.00491
                   2,            0.066017,             0.09945,            0.032782,             0.48053,             0.24322,             0.08788,             0.02125,            0.078392,            0.084618,            0.039707,          0.00085695,          0.00085695,            0.092257,             0.00482
                   3,              0.0635,             0.10551,            0.025319,             0.50646,             0.14046,            0.086567,            0.023073,            0.073428,             0.10154,            0.045469,           0.0011408,           0.0011408,            0.089641,             0.00473
                   4,            0.062525,             0.10294,            0.022448,             0.52907,             0.29251,             0.17715,            0.053213,            0.067714,             0.10175,            0.026101,           0.0014196,           0.0014196,             0.08702,             0.00464
                   5,            0.062407,             0.10022,            0.021892,             0.37734,             0.30968,             0.21954,            0.078919,            0.072056,            0.086261,            0.029892,           0.0016919,           0.0016919,            0.084392,             0.00455
                   6,            0.062544,            0.096462,            0.020718,             0.36267,             0.30832,             0.20367,             0.05737,            0.066324,            0.080559,             0.02507,           0.0019562,           0.0019562,            0.081756,             0.00446
                   7,            0.061578,             0.10693,            0.018044,             0.45048,             0.26701,             0.24753,            0.072615,            0.067445,                0.08,            0.025937,           0.0022111,           0.0022111,            0.079111,             0.00437
                   8,            0.062632,             0.10257,            0.018871,             0.56391,             0.33806,             0.36375,             0.11057,            0.062816,            0.076255,            0.025087,           0.0024553,           0.0024553,            0.076455,             0.00428
                   9,            0.060134,             0.09971,            0.017288,             0.43054,             0.31654,             0.29681,             0.10269,            0.064792,            0.086245,            0.032117,           0.0026875,           0.0026875,            0.073788,             0.00419
                  10,            0.061632,              0.1048,            0.019007,             0.30881,             0.20151,             0.23186,            0.088546,            0.069824,            0.095942,            0.032716,           0.0029067,           0.0029067,            0.071107,              0.0041
                  11,            0.060813,             0.10365,            0.017115,             0.30855,             0.20196,              0.1622,            0.057333,            0.073025,             0.11167,            0.036853,           0.0031117,           0.0031117,            0.068412,             0.00401
                  12,             0.05962,             0.10188,            0.018162,            0.083293,             0.13556,            0.087846,            0.026087,            0.083049,             0.10818,            0.043745,           0.0033014,           0.0033014,            0.065701,             0.00392
                  13,            0.060449,             0.10321,            0.017696,             0.20756,             0.12492,               0.151,            0.043582,            0.082574,             0.10856,            0.043651,           0.0034751,           0.0034751,            0.062975,             0.00383
                  14,            0.061539,             0.10495,            0.017519,             0.32773,           0.0032143,           0.0064206,           0.0016268,            0.086558,             0.10583,            0.051902,           0.0036319,           0.0036319,            0.060232,             0.00374
                  15,            0.062209,             0.10333,            0.017752,            0.095322,            0.065669,            0.066822,            0.021333,            0.085538,             0.10424,            0.050968,           0.0037712,           0.0037712,            0.057471,             0.00365
                  16,            0.062932,             0.10429,            0.019522,             0.19019,            0.094772,             0.13961,            0.045717,            0.086643,             0.10143,            0.050797,           0.0038923,           0.0038923,            0.054692,             0.00356
                  17,            0.062517,             0.10611,            0.019894,            0.089084,            0.039962,            0.065081,            0.030597,            0.087187,              0.1035,            0.052258,            0.003995,            0.003995,            0.051895,             0.00347
                  18,            0.062252,             0.10551,            0.020618,            0.039939,             0.09776,            0.039172,            0.012012,            0.084681,              0.1015,            0.049234,           0.0040788,           0.0040788,            0.049079,             0.00338
                  19,            0.063163,             0.10528,            0.020448,             0.11716,             0.15008,            0.090201,            0.033963,            0.082136,            0.097047,            0.045813,           0.0041436,           0.0041436,            0.046244,             0.00329
                  20,            0.062616,             0.10292,             0.02088,             0.48014,             0.17322,             0.15283,            0.054377,            0.080079,             0.09473,            0.043614,           0.0041895,           0.0041895,            0.043389,              0.0032
                  21,            0.062836,            0.098453,            0.020889,             0.39369,             0.21604,             0.15763,             0.06779,             0.07635,              0.0952,            0.040521,           0.0042164,           0.0042164,            0.040516,             0.00311
                  22,            0.061768,             0.10394,            0.019403,             0.52018,             0.29148,              0.2652,            0.092848,               0.068,            0.082519,            0.032048,           0.0042246,           0.0042246,            0.037625,             0.00302
                  23,            0.059266,            0.099406,            0.019503,               0.484,             0.30737,             0.33055,             0.14027,            0.066333,             0.08286,             0.02913,           0.0042145,           0.0042145,            0.034714,             0.00293
                  24,            0.060266,              0.1005,            0.019107,             0.48777,             0.21403,             0.26099,            0.087747,            0.070496,            0.077655,            0.032939,           0.0041866,           0.0041866,            0.031787,             0.00284
                  25,             0.05903,            0.097516,            0.018074,             0.46661,             0.37038,             0.35881,             0.13726,            0.061427,            0.074393,            0.024885,           0.0041415,           0.0041415,            0.028842,             0.00275
                  26,            0.059049,             0.09915,             0.01797,             0.50757,             0.38433,             0.39528,             0.14755,            0.061513,            0.075606,             0.02476,             0.00408,             0.00408,             0.02588,             0.00266
                  27,            0.059357,            0.099225,            0.018672,             0.49307,             0.40803,             0.41793,             0.15285,            0.060203,            0.073415,            0.022544,           0.0040031,           0.0040031,            0.022903,             0.00257
                  28,            0.057809,              0.1009,            0.016779,             0.41113,             0.44969,             0.43856,              0.1662,            0.062833,            0.080213,            0.024115,           0.0039117,           0.0039117,            0.019912,             0.00248
                  29,            0.057004,            0.099016,             0.01649,             0.58856,             0.45528,             0.45993,              0.1589,            0.059573,            0.079061,            0.021024,            0.003807,            0.003807,            0.016907,             0.00239
                  30,            0.057147,            0.099639,            0.016243,             0.54081,             0.50128,             0.44444,             0.17375,            0.060638,            0.073498,            0.022938,           0.0036903,           0.0036903,             0.01389,              0.0023
                  31,            0.055911,            0.095937,            0.016295,             0.50405,             0.52748,             0.52237,             0.19286,             0.05877,            0.076579,            0.019475,           0.0035629,           0.0035629,            0.010863,             0.00221
                  32,            0.056645,             0.09994,            0.016343,             0.53558,             0.54599,             0.49093,             0.19077,            0.058323,            0.074423,            0.020048,           0.0034263,           0.0034263,           0.0078263,             0.00212
                  33,            0.054985,             0.09791,            0.015223,             0.53585,             0.47774,             0.50828,             0.20367,            0.056459,            0.071068,            0.019602,           0.0032821,           0.0032821,           0.0047821,             0.00203
                  34,            0.055296,            0.094087,            0.014714,             0.74259,             0.52718,             0.58117,             0.22605,            0.056533,            0.075317,            0.019807,           0.0030888,           0.0030888,           0.0030888,             0.00194
                  35,             0.05481,            0.093556,            0.014663,             0.63464,             0.48638,             0.52452,             0.20465,            0.057697,            0.078454,            0.017921,           0.0030888,           0.0030888,           0.0030888,             0.00185
                  36,            0.054431,            0.096232,            0.014406,             0.64381,             0.57612,             0.59872,             0.20776,            0.057577,            0.073872,            0.016624,            0.002855,            0.002855,            0.002855,             0.00176
                  37,            0.054463,            0.098236,            0.013471,              0.7199,              0.5334,             0.60416,              0.2532,            0.053889,             0.07067,            0.016887,           0.0026316,           0.0026316,           0.0026316,             0.00167
                  38,            0.052303,            0.094243,            0.012912,             0.66578,             0.56406,             0.58719,             0.24537,            0.054426,            0.069832,            0.017128,           0.0024195,           0.0024195,           0.0024195,             0.00158
                  39,            0.051164,            0.089088,            0.012151,             0.63845,             0.51313,             0.55656,             0.23028,            0.054399,            0.069986,            0.017434,           0.0022196,           0.0022196,           0.0022196,             0.00149
                  40,            0.052279,            0.094606,            0.012155,             0.67014,              0.4946,             0.55791,             0.24372,            0.054928,             0.07074,            0.017234,           0.0020327,           0.0020327,           0.0020327,              0.0014
                  41,            0.050755,            0.094533,              0.0117,             0.81626,             0.56551,             0.66036,             0.27646,            0.053535,            0.067512,            0.016078,           0.0018594,           0.0018594,           0.0018594,             0.00131
                  42,            0.050384,             0.08908,            0.011488,             0.67101,             0.68841,             0.67447,             0.28882,            0.052622,            0.068769,            0.015357,           0.0017005,           0.0017005,           0.0017005,             0.00122
                  43,            0.049996,            0.090219,            0.010495,             0.71094,             0.66884,             0.64946,             0.27488,            0.053592,            0.070671,            0.014991,           0.0015566,           0.0015566,           0.0015566,             0.00113
                  44,            0.048901,            0.088259,            0.010561,             0.71711,              0.6176,              0.6475,             0.28012,            0.052499,            0.067867,            0.015429,           0.0014283,           0.0014283,           0.0014283,             0.00104
                  45,            0.049112,            0.086603,            0.010243,             0.65812,             0.67507,             0.66893,             0.29314,            0.052391,            0.067244,            0.015003,            0.001316,            0.001316,            0.001316,             0.00095
                  46,            0.048725,            0.088719,             0.01041,             0.74588,             0.64809,             0.68908,             0.30865,            0.051387,            0.067693,             0.01501,           0.0012202,           0.0012202,           0.0012202,             0.00086
